TVD 	TWT(msec)	Velocity
0.00	0.00	0.00
379.00	512.00	1480.47
1265.00	1300.00	2248.73
1278.00	1310.00	2600.00
1291.00	1320.00	2600.00
1304.00	1330.00	2600.00
1317.00	1340.00	2600.00
1330.00	1350.00	2600.00
1343.00	1360.00	2600.00
1358.00	1370.00	3000.00
1371.00	1380.00	2600.00
1383.00	1390.00	2400.00
1395.00	1400.00	2400.00
1406.00	1410.00	2200.00
1417.00	1420.00	2200.00
1429.00	1430.00	2400.00
1440.00	1440.00	2200.00
1452.00	1450.00	2400.00
1463.00	1460.00	2200.00
1474.00	1470.00	2200.00
1486.00	1480.00	2400.00
1496.00	1490.00	2000.00
1507.00	1500.00	2200.00
1518.00	1510.00	2200.00
1529.00	1520.00	2200.00
1539.00	1530.00	2000.00
1550.00	1540.00	2200.00
1560.00	1550.00	2000.00
1570.00	1560.00	2000.00
1581.00	1570.00	2200.00
1591.00	1580.00	2000.00
1601.00	1590.00	2000.00
1611.00	1600.00	2000.00
1621.00	1610.00	2000.00
1631.00	1620.00	2000.00
1642.00	1630.00	2200.00
1652.00	1640.00	2000.00
1662.00	1650.00	2000.00
1672.00	1660.00	2000.00
1681.00	1670.00	1800.00
1691.00	1680.00	2000.00
1702.00	1690.00	2200.00
1712.00	1700.00	2000.00
1723.00	1710.00	2200.00
1733.00	1720.00	2000.00
1743.00	1730.00	2000.00
1754.00	1740.00	2200.00
1764.00	1750.00	2000.00
1774.00	1760.00	2000.00
1783.00	1770.00	1800.00
1793.00	1780.00	2000.00
1804.00	1790.00	2200.00
1814.00	1800.00	2000.00
1826.00	1810.00	2400.00
1837.00	1820.00	2200.00
1848.00	1830.00	2200.00
1860.00	1840.00	2400.00
1871.00	1850.00	2200.00
1882.00	1860.00	2200.00
1892.00	1870.00	2000.00
1902.00	1880.00	2000.00
1913.00	1890.00	2200.00
1924.00	1900.00	2200.00
1935.00	1910.00	2200.00
1946.00	1920.00	2200.00
1957.00	1930.00	2200.00
1968.00	1940.00	2200.00
1979.00	1950.00	2200.00
1991.00	1960.00	2400.00
2003.00	1970.00	2400.00
2014.00	1980.00	2200.00
2026.00	1990.00	2400.00
2039.00	2000.00	2600.00
2051.00	2010.00	2400.00
2063.00	2020.00	2400.00
2075.00	2030.00	2400.00
2087.00	2040.00	2400.00
2099.00	2050.00	2400.00
2112.00	2060.00	2600.00
2124.00	2070.00	2400.00
2136.00	2080.00	2400.00
2148.00	2090.00	2400.00
2160.00	2100.00	2400.00
2174.00	2110.00	2800.00
2188.00	2120.00	2800.00
2204.00	2130.00	3200.00
2219.00	2140.00	3000.00
2234.00	2150.00	3000.00
2249.00	2160.00	3000.00
2264.00	2170.00	3000.00
2279.00	2180.00	3000.00
2293.00	2190.00	2800.00
2308.00	2200.00	3000.00
2320.00	2210.00	2400.00
2331.00	2220.00	2200.00
2343.00	2230.00	2400.00
2356.00	2240.00	2600.00
2369.00	2250.00	2600.00
2383.00	2260.00	2800.00
2397.00	2270.00	2800.00
2411.00	2280.00	2800.00
2425.00	2290.00	2800.00
2440.00	2300.00	3000.00
2454.00	2310.00	2800.00
2469.00	2320.00	3000.00
2485.00	2330.00	3200.00
2500.00	2340.00	3000.00
2517.00	2350.00	3400.00
2532.00	2360.00	3000.00
2548.00	2370.00	3200.00
2564.00	2380.00	3200.00
2580.00	2390.00	3200.00
2597.00	2400.00	3400.00
2614.00	2410.00	3400.00
2633.00	2420.00	3800.00
2650.00	2430.00	3400.00
2668.00	2440.00	3600.00
2685.00	2450.00	3400.00
2703.00	2460.00	3600.00
2720.00	2470.00	3400.00
2737.00	2480.00	3400.00
2754.00	2490.00	3400.00
2761.00	2494.00	3500.00
